ID,Gender,Residence Zone,Education Level,Years of Experience,Desired Salary,Status,Age,Marital Status,Residence Distance,Job Title,Skill 1,Skill 2,Skill 3,Skill 4,Skill 5,Skill 6,Skill 7,Skill 8,Skill 9,Skill 10
E148,Female,Zone J,PhD,Advanced,Medium,Offered,Middle,Married,Far,Quality Assurance Manager,Critical Thinking,-,-,Communication,Analytical Thinking,-,Team Work,Adaptability,-,Leadership
E149,Female,Zone E,Bachelor's Degree,Beginner,Low,Interviewing,Old,Single,Near,HSE Engineer Staff,-,Problem Solving,Data Visualization,-,Analytical Thinking,-,Team Work,Adaptability,Creativity,Leadership
E150,Other,Zone H,PhD,Beginner,Medium,Offered,Middle,Married,Medium,Customer Care Staff,-,-,Data Visualization,Communication,Analytical Thinking,-,Team Work,Adaptability,Creativity,Leadership
E151,Female,Zone C,Master's Degree,Advanced,High,Interviewing,Young,Single,Medium,Manufacturing Facilities Manager,-,Problem Solving,-,Communication,Analytical Thinking,Time Management,-,-,-,Leadership
E152,Other,Zone A,Master's Degree,Advanced,Medium,Interviewing,Old,Married,Far,Quality Assurance Staff,-,Problem Solving,Data Visualization,-,Analytical Thinking,Time Management,Team Work,-,Creativity,-
E153,Female,Zone B,High School,Advanced,Medium,Interviewing,Young,Single,Far,Manufacturing Design Engineer Staff,-,-,Data Visualization,-,-,-,Team Work,-,-,-
E154,Female,Zone I,Master's Degree,Advanced,Medium,Offered,Young,Single,Far,Chief Financial Officer,Critical Thinking,Problem Solving,Data Visualization,-,Analytical Thinking,-,-,Adaptability,Creativity,Leadership
E155,Female,Zone E,Master's Degree,Advanced,Low,Offered,Middle,Single,Near,Manufacturing Techinical Staff,-,-,-,Communication,-,Time Management,Team Work,-,-,Leadership
E156,Female,Zone B,Bachelor's Degree,Intermediate,Medium,Interviewing,Middle,Widowed,Far,Manufacturing Techinical Staff,-,-,-,Communication,-,Time Management,Team Work,-,-,Leadership
E157,Other,Zone B,Bachelor's Degree,Beginner,High,Interviewing,Middle,Divorced,Far,Technology Staff,Critical Thinking,Problem Solving,-,-,-,Time Management,Team Work,Adaptability,-,Leadership
E158,Male,Zone J,PhD,Advanced,Low,Interviewing,Young,Single,Far,HSE Analyst Manager,Critical Thinking,-,Data Visualization,-,-,Time Management,-,Adaptability,Creativity,Leadership
E159,Female,Zone B,High School,Beginner,Medium,Interviewing,Young,Married,Far,Manufacturing Techinical Staff,-,-,-,Communication,-,Time Management,Team Work,-,-,Leadership
E160,Male,Zone C,Master's Degree,Advanced,Low,Offered,Middle,Single,Medium,Research and Development Enginner Staff,Critical Thinking,Problem Solving,-,Communication,Analytical Thinking,Time Management,Team Work,-,Creativity,-
E161,Male,Zone F,Bachelor's Degree,Advanced,Medium,Interviewing,Middle,Widowed,Near,Manufacturing Design Engineer Staff,-,-,Data Visualization,-,-,-,Team Work,-,-,-
E162,Other,Zone H,High School,Advanced,Low,Interviewing,Middle,Single,Medium,Manufacturing Sales Representative Staff,Critical Thinking,-,Data Visualization,-,-,-,-,-,Creativity,-
E163,Female,Zone C,Bachelor's Degree,Advanced,Low,Interviewing,Middle,Single,Medium,Supply Chain Manager,Critical Thinking,-,-,Communication,Analytical Thinking,Time Management,-,Adaptability,Creativity,-
E164,Female,Zone D,High School,Intermediate,Medium,Offered,Middle,Widowed,Medium,Technology Staff,Critical Thinking,Problem Solving,-,-,-,Time Management,Team Work,Adaptability,-,Leadership
E165,Other,Zone G,High School,Beginner,Medium,Interviewing,Old,Widowed,Medium,Manufacturing Analyst Staff,Critical Thinking,Problem Solving,Data Visualization,-,-,Time Management,Team Work,-,-,-
E166,Other,Zone I,High School,Advanced,Medium,Offered,Middle,Single,Far,Quality Control Staff,-,Problem Solving,Data Visualization,Communication,Analytical Thinking,Time Management,Team Work,-,Creativity,-
E167,Other,Zone D,PhD,Advanced,Low,Offered,Old,Single,Medium,Quality Control Staff,-,Problem Solving,Data Visualization,Communication,Analytical Thinking,Time Management,Team Work,-,Creativity,-
E168,Female,Zone G,Master's Degree,Intermediate,High,Offered,Young,Single,Medium,Manufacturing Enginner Staff,Critical Thinking,Problem Solving,Data Visualization,-,Analytical Thinking,-,Team Work,Adaptability,-,Leadership
E169,Female,Zone H,Bachelor's Degree,Advanced,Medium,Interviewing,Old,Widowed,Medium,Manufacturing Techinical Staff,-,-,-,Communication,-,Time Management,Team Work,-,-,Leadership
E170,Male,Zone B,Master's Degree,Beginner,Medium,Interviewing,Middle,Married,Far,Quantity Surveyor Staff,-,-,-,Communication,-,Time Management,Team Work,-,Creativity,Leadership
E171,Male,Zone B,Bachelor's Degree,Advanced,Low,Interviewing,Middle,Single,Far,Supply Chain Staff,-,Problem Solving,-,-,-,Time Management,-,Adaptability,-,-
E172,Male,Zone E,High School,Advanced,Medium,Interviewing,Young,Single,Near,Management Accountant Staff,-,-,Data Visualization,Communication,-,-,-,Adaptability,Creativity,-
E173,Other,Zone D,Bachelor's Degree,Advanced,Low,Interviewing,Middle,Married,Medium,Manufacturing Techinical Staff,-,-,-,Communication,-,Time Management,Team Work,-,-,Leadership
E174,Other,Zone H,High School,Advanced,High,Interviewing,Middle,Widowed,Medium,Administrative Staff,-,-,-,Communication,Analytical Thinking,Time Management,-,-,Creativity,Leadership
E175,Female,Zone E,Bachelor's Degree,Beginner,High,Interviewing,Middle,Divorced,Near,Digital Advertising Staff,Critical Thinking,Problem Solving,Data Visualization,Communication,-,-,-,-,-,-
E176,Female,Zone A,High School,Intermediate,Medium,Offered,Middle,Married,Far,Manufacturing System Technology Staff,Critical Thinking,Problem Solving,-,-,Analytical Thinking,Time Management,Team Work,-,Creativity,-
E177,Male,Zone I,PhD,Advanced,High,Interviewing,Old,Divorced,Far,Chief Strategy Officer,-,-,-,-,-,-,-,Adaptability,Creativity,Leadership
E178,Female,Zone A,Bachelor's Degree,Beginner,High,Interviewing,Young,Single,Far,Quality Control Staff,-,Problem Solving,Data Visualization,Communication,Analytical Thinking,Time Management,Team Work,-,Creativity,-
E179,Female,Zone G,PhD,Advanced,High,Interviewing,Middle,Divorced,Medium,Chief Executive Officer,Critical Thinking,-,-,Communication,Analytical Thinking,-,-,-,-,Leadership
E180,Male,Zone G,PhD,Advanced,Low,Interviewing,Middle,Single,Medium,Research and Development Enginner Staff,Critical Thinking,Problem Solving,-,Communication,Analytical Thinking,Time Management,Team Work,-,Creativity,-
E181,Other,Zone C,Master's Degree,Advanced,Medium,Offered,Old,Widowed,Medium,Manufacturing Design Engineer Manager,-,Problem Solving,Data Visualization,Communication,Analytical Thinking,Time Management,Team Work,Adaptability,-,-
E182,Female,Zone H,Bachelor's Degree,Beginner,High,Offered,Old,Widowed,Medium,Technology Staff,Critical Thinking,Problem Solving,-,-,-,Time Management,Team Work,Adaptability,-,Leadership
E183,Other,Zone F,Master's Degree,Advanced,High,Interviewing,Middle,Divorced,Near,Food Service Manager,Critical Thinking,-,-,Communication,-,Time Management,-,Adaptability,-,-
E184,Male,Zone G,PhD,Intermediate,Low,Offered,Middle,Single,Medium,Chief Operating Officer,Critical Thinking,Problem Solving,-,Communication,Analytical Thinking,-,Team Work,Adaptability,Creativity,-
E185,Other,Zone B,High School,Intermediate,High,Offered,Young,Married,Far,Management Accountant Staff,-,-,Data Visualization,Communication,-,-,-,Adaptability,Creativity,-
E186,Male,Zone F,Master's Degree,Intermediate,Medium,Interviewing,Young,Single,Near,Manufacturing Enginner Staff,Critical Thinking,Problem Solving,Data Visualization,-,Analytical Thinking,-,Team Work,Adaptability,-,Leadership
E187,Other,Zone I,High School,Advanced,Low,Offered,Middle,Married,Far,Manufacturing Facilities Staff,Critical Thinking,Problem Solving,Data Visualization,Communication,Analytical Thinking,Time Management,Team Work,Adaptability,-,Leadership
E188,Female,Zone F,High School,Advanced,High,Offered,Middle,Widowed,Near,Research and Development Enginner Staff,Critical Thinking,Problem Solving,-,Communication,Analytical Thinking,Time Management,Team Work,-,Creativity,-
E189,Male,Zone A,PhD,Advanced,High,Interviewing,Old,Divorced,Far,Manufacturing Techinical Manager,-,-,Data Visualization,Communication,-,Time Management,Team Work,Adaptability,Creativity,-
E190,Other,Zone C,Bachelor's Degree,Beginner,Low,Interviewing,Old,Single,Medium,Research and Development Enginner Staff,Critical Thinking,Problem Solving,-,Communication,Analytical Thinking,Time Management,Team Work,-,Creativity,-
E191,Female,Zone J,Master's Degree,Intermediate,High,Interviewing,Old,Divorced,Far,Manufacturing Design Engineer Manager,-,Problem Solving,Data Visualization,Communication,Analytical Thinking,Time Management,Team Work,Adaptability,-,-
E192,Other,Zone D,Master's Degree,Advanced,Medium,Interviewing,Middle,Single,Medium,Customer Care Manager,Critical Thinking,Problem Solving,Data Visualization,Communication,Analytical Thinking,-,Team Work,Adaptability,Creativity,Leadership
E193,Male,Zone J,High School,Advanced,Medium,Offered,Young,Single,Far,HSE Engineer Staff,-,Problem Solving,Data Visualization,-,Analytical Thinking,-,Team Work,Adaptability,Creativity,Leadership
E194,Other,Zone I,PhD,Intermediate,High,Interviewing,Middle,Divorced,Far,Maintenance Technician Manager,-,Problem Solving,Data Visualization,Communication,-,-,-,Adaptability,-,-
E195,Other,Zone D,Bachelor's Degree,Intermediate,High,Offered,Young,Single,Medium,Technology Analyst Manager,-,-,Data Visualization,-,Analytical Thinking,Time Management,-,Adaptability,Creativity,Leadership
E196,Female,Zone H,Bachelor's Degree,Advanced,High,Offered,Middle,Divorced,Medium,Financial Analyst Staff,Critical Thinking,-,Data Visualization,-,-,Time Management,Team Work,-,-,Leadership
E197,Male,Zone E,Master's Degree,Advanced,High,Offered,Middle,Divorced,Near,Manufacturing Risk Manager,Critical Thinking,-,Data Visualization,-,Analytical Thinking,Time Management,Team Work,-,Creativity,-
E198,Female,Zone H,Master's Degree,Intermediate,High,Offered,Middle,Divorced,Medium,Management Accountant Manager,-,-,-,Communication,-,-,-,Adaptability,-,-
E199,Female,Zone E,PhD,Intermediate,Low,Interviewing,Young,Single,Near,Quality Control Staff,-,Problem Solving,Data Visualization,Communication,Analytical Thinking,Time Management,Team Work,-,Creativity,-
E200,Female,Zone F,Bachelor's Degree,Intermediate,Low,Interviewing,Middle,Widowed,Near,Administrative Staff,-,-,-,Communication,Analytical Thinking,Time Management,-,-,Creativity,Leadership
E201,Other,Zone A,Master's Degree,Advanced,High,Offered,Young,Married,Far,Customer Care Manager,Critical Thinking,Problem Solving,Data Visualization,Communication,Analytical Thinking,-,Team Work,Adaptability,Creativity,Leadership
E202,Male,Zone D,Bachelor's Degree,Advanced,High,Offered,Young,Single,Medium,Purchasing Manager,-,Problem Solving,-,Communication,Analytical Thinking,-,Team Work,Adaptability,Creativity,Leadership
E203,Female,Zone F,Bachelor's Degree,Advanced,Low,Offered,Young,Single,Near,Manufacturing Company Secretary,-,-,Data Visualization,Communication,Analytical Thinking,Time Management,Team Work,-,-,-
E204,Male,Zone D,High School,Advanced,High,Offered,Young,Single,Medium,Customer Care Staff,-,-,Data Visualization,Communication,Analytical Thinking,-,Team Work,Adaptability,Creativity,Leadership
E205,Other,Zone I,PhD,Beginner,Medium,Interviewing,Middle,Widowed,Far,Financial Analyst Manager,Critical Thinking,-,-,-,Analytical Thinking,-,-,-,Creativity,-
E206,Other,Zone B,Bachelor's Degree,Intermediate,Low,Offered,Middle,Married,Far,Material Control Staff,-,-,-,Communication,Analytical Thinking,-,-,-,Creativity,-
E207,Other,Zone F,Bachelor's Degree,Advanced,Medium,Interviewing,Middle,Single,Near,Manufacturing System Engineer Staff,Critical Thinking,-,-,-,-,-,Team Work,-,Creativity,Leadership
E208,Other,Zone F,Bachelor's Degree,Beginner,High,Offered,Middle,Divorced,Near,Manufacturing Techinical Staff,-,-,-,Communication,-,Time Management,Team Work,-,-,Leadership
E209,Female,Zone E,Master's Degree,Intermediate,High,Interviewing,Middle,Divorced,Near,Human Resources Manager,-,Problem Solving,-,Communication,Analytical Thinking,-,Team Work,-,-,-
E210,Female,Zone J,High School,Intermediate,High,Offered,Young,Single,Far,Digital Advertising Staff,Critical Thinking,Problem Solving,Data Visualization,Communication,-,-,-,-,-,-
E211,Male,Zone E,Bachelor's Degree,Beginner,High,Offered,Old,Widowed,Near,Quantity Surveyor Staff,-,-,-,Communication,-,Time Management,Team Work,-,Creativity,Leadership
E212,Male,Zone E,Master's Degree,Beginner,Low,Interviewing,Young,Single,Near,Human Resources Manager,-,Problem Solving,-,Communication,Analytical Thinking,-,Team Work,-,-,-
E213,Female,Zone J,Bachelor's Degree,Beginner,High,Offered,Old,Widowed,Far,Technology Analyst Staff,-,-,Data Visualization,Communication,-,Time Management,-,Adaptability,-,Leadership
E214,Other,Zone F,High School,Intermediate,High,Offered,Middle,Widowed,Near,HSE Analyst Staff,Critical Thinking,Problem Solving,-,Communication,-,Time Management,Team Work,-,-,-
E215,Other,Zone C,Master's Degree,Intermediate,Medium,Offered,Young,Married,Medium,Human Resources Manager,-,Problem Solving,-,Communication,Analytical Thinking,-,Team Work,-,-,-
E216,Other,Zone I,Master's Degree,Beginner,Low,Offered,Young,Married,Far,Manufacturing Design Engineer Staff,-,-,Data Visualization,-,-,-,Team Work,-,-,-
E217,Female,Zone B,PhD,Advanced,Medium,Interviewing,Old,Widowed,Far,Chief Operating Officer,Critical Thinking,Problem Solving,-,Communication,Analytical Thinking,-,Team Work,Adaptability,Creativity,-
E218,Male,Zone F,PhD,Advanced,Low,Offered,Middle,Married,Near,Manufacturing Company Secretary,-,-,Data Visualization,Communication,Analytical Thinking,Time Management,Team Work,-,-,-
E219,Male,Zone E,Bachelor's Degree,Advanced,Medium,Interviewing,Young,Married,Near,Technology Manager,-,-,-,-,-,Time Management,-,Adaptability,-,Leadership
E220,Other,Zone E,Master's Degree,Beginner,High,Interviewing,Middle,Divorced,Near,Production Planning Manager,-,Problem Solving,Data Visualization,-,-,Time Management,-,-,-,Leadership
E221,Female,Zone G,Master's Degree,Intermediate,Low,Offered,Old,Single,Medium,Quality Control Manager,-,Problem Solving,-,-,Analytical Thinking,Time Management,-,Adaptability,Creativity,Leadership
E222,Male,Zone C,PhD,Advanced,Low,Interviewing,Middle,Single,Medium,Chief Marketing Officer,Critical Thinking,-,Data Visualization,-,Analytical Thinking,-,Team Work,Adaptability,Creativity,-
E223,Male,Zone I,High School,Intermediate,High,Offered,Young,Single,Far,Quantity Surveyor Staff,-,-,-,Communication,-,Time Management,Team Work,-,Creativity,Leadership
E224,Other,Zone J,Bachelor's Degree,Intermediate,Medium,Offered,Middle,Married,Far,Customer Care Staff,-,-,Data Visualization,Communication,Analytical Thinking,-,Team Work,Adaptability,Creativity,Leadership
E225,Other,Zone C,Master's Degree,Advanced,High,Interviewing,Middle,Widowed,Medium,Production Planning Manager,-,Problem Solving,Data Visualization,-,-,Time Management,-,-,-,Leadership
E226,Male,Zone A,PhD,Intermediate,Low,Interviewing,Old,Single,Far,Maintenance Technician Manager,-,Problem Solving,Data Visualization,Communication,-,-,-,Adaptability,-,-
E227,Male,Zone J,PhD,Advanced,Medium,Interviewing,Old,Single,Far,Manufacturing Techinical Manager,-,-,Data Visualization,Communication,-,Time Management,Team Work,Adaptability,Creativity,-
E228,Male,Zone E,Bachelor's Degree,Advanced,Medium,Interviewing,Young,Single,Near,Public Relations Staff,Critical Thinking,Problem Solving,-,Communication,-,Time Management,-,Adaptability,-,-
E229,Female,Zone E,Master's Degree,Advanced,High,Interviewing,Old,Divorced,Near,Chief Operating Officer,Critical Thinking,Problem Solving,-,Communication,Analytical Thinking,-,Team Work,Adaptability,Creativity,-
E230,Male,Zone J,Bachelor's Degree,Intermediate,Medium,Offered,Young,Single,Far,Manufacturing Analyst Staff,Critical Thinking,Problem Solving,Data Visualization,-,-,Time Management,Team Work,-,-,-
E231,Other,Zone I,Master's Degree,Advanced,Medium,Offered,Middle,Widowed,Far,Manufacturing Company Secretary,-,-,Data Visualization,Communication,Analytical Thinking,Time Management,Team Work,-,-,-
E232,Male,Zone G,PhD,Advanced,High,Offered,Old,Divorced,Medium,Manufacturing Techinical Manager,-,-,Data Visualization,Communication,-,Time Management,Team Work,Adaptability,Creativity,-
E233,Male,Zone E,Bachelor's Degree,Advanced,Medium,Offered,Young,Married,Near,Technology Manager,-,-,-,-,-,Time Management,-,Adaptability,-,Leadership
E234,Other,Zone E,Bachelor's Degree,Beginner,Low,Offered,Old,Single,Near,Customer Care Staff,-,-,Data Visualization,Communication,Analytical Thinking,-,Team Work,Adaptability,Creativity,Leadership
E235,Female,Zone E,Bachelor's Degree,Advanced,High,Offered,Young,Single,Near,Technology Manager,-,-,-,-,-,Time Management,-,Adaptability,-,Leadership
E236,Male,Zone I,High School,Beginner,High,Offered,Old,Divorced,Far,Management Accountant Staff,-,-,Data Visualization,Communication,-,-,-,Adaptability,Creativity,-
E237,Other,Zone F,High School,Advanced,High,Interviewing,Old,Divorced,Near,Material Control Staff,-,-,-,Communication,Analytical Thinking,-,-,-,Creativity,-
E238,Other,Zone H,High School,Advanced,High,Offered,Old,Divorced,Medium,Customer Care Staff,-,-,Data Visualization,Communication,Analytical Thinking,-,Team Work,Adaptability,Creativity,Leadership
E239,Other,Zone I,High School,Advanced,Low,Interviewing,Young,Single,Far,Manufacturing Enginner Staff,Critical Thinking,Problem Solving,Data Visualization,-,Analytical Thinking,-,Team Work,Adaptability,-,Leadership
E240,Other,Zone E,Bachelor's Degree,Advanced,High,Interviewing,Old,Divorced,Near,Customer Care Manager,Critical Thinking,Problem Solving,Data Visualization,Communication,Analytical Thinking,-,Team Work,Adaptability,Creativity,Leadership
E241,Other,Zone D,Bachelor's Degree,Intermediate,Low,Interviewing,Young,Married,Medium,Quality Assurance Staff,-,Problem Solving,Data Visualization,-,Analytical Thinking,Time Management,Team Work,-,Creativity,-
E242,Female,Zone D,Master's Degree,Beginner,Low,Interviewing,Old,Single,Medium,Research and Development Enginner Staff,Critical Thinking,Problem Solving,-,Communication,Analytical Thinking,Time Management,Team Work,-,Creativity,-
E243,Female,Zone I,PhD,Advanced,High,Offered,Old,Divorced,Far,Manufacturing Sales Representative Manager,-,-,Data Visualization,-,-,Time Management,Team Work,-,-,-
E244,Other,Zone B,Master's Degree,Intermediate,High,Interviewing,Young,Single,Far,Public Relations Manager,Critical Thinking,-,Data Visualization,-,-,-,-,Adaptability,-,Leadership
E245,Female,Zone C,High School,Intermediate,High,Interviewing,Middle,Divorced,Medium,Technology Staff,Critical Thinking,Problem Solving,-,-,-,Time Management,Team Work,Adaptability,-,Leadership
E246,Female,Zone C,Bachelor's Degree,Advanced,High,Interviewing,Middle,Widowed,Medium,HSE Engineer Staff,-,Problem Solving,Data Visualization,-,Analytical Thinking,-,Team Work,Adaptability,Creativity,Leadership
E247,Other,Zone B,PhD,Intermediate,High,Offered,Middle,Divorced,Far,Chief Financial Officer,Critical Thinking,Problem Solving,Data Visualization,-,Analytical Thinking,-,-,Adaptability,Creativity,Leadership
E248,Other,Zone F,Master's Degree,Advanced,High,Offered,Middle,Divorced,Near,Chief Financial Officer,Critical Thinking,Problem Solving,Data Visualization,-,Analytical Thinking,-,-,Adaptability,Creativity,Leadership
E249,Male,Zone B,Master's Degree,Intermediate,High,Offered,Middle,Widowed,Far,Technology Analyst Staff,-,-,Data Visualization,Communication,-,Time Management,-,Adaptability,-,Leadership
E250,Female,Zone A,Bachelor's Degree,Advanced,Low,Interviewing,Middle,Widowed,Far,Administrative Manager,Critical Thinking,Problem Solving,-,Communication,-,Time Management,Team Work,Adaptability,Creativity,Leadership
E251,Male,Zone A,High School,Advanced,Medium,Interviewing,Middle,Married,Far,Research and Development Enginner Staff,Critical Thinking,Problem Solving,-,Communication,Analytical Thinking,Time Management,Team Work,-,Creativity,-
E252,Male,Zone C,Master's Degree,Advanced,Low,Offered,Old,Married,Medium,Financial Analyst Manager,Critical Thinking,-,-,-,Analytical Thinking,-,-,-,Creativity,-
E253,Male,Zone G,High School,Advanced,High,Offered,Young,Single,Medium,Manufacturing Facilities Staff,Critical Thinking,Problem Solving,Data Visualization,Communication,Analytical Thinking,Time Management,Team Work,Adaptability,-,Leadership
E254,Female,Zone C,Bachelor's Degree,Advanced,High,Offered,Young,Married,Medium,Administrative Manager,Critical Thinking,Problem Solving,-,Communication,-,Time Management,Team Work,Adaptability,Creativity,Leadership
E255,Female,Zone E,PhD,Advanced,Medium,Offered,Middle,Married,Near,Financial Analyst Manager,Critical Thinking,-,-,-,Analytical Thinking,-,-,-,Creativity,-
E256,Male,Zone B,Bachelor's Degree,Advanced,High,Interviewing,Young,Single,Far,Digital Advertising Manager,-,-,Data Visualization,Communication,Analytical Thinking,Time Management,-,Adaptability,-,Leadership
E257,Other,Zone I,Master's Degree,Intermediate,High,Offered,Middle,Divorced,Far,Production Planning Manager,-,Problem Solving,Data Visualization,-,-,Time Management,-,-,-,Leadership
E258,Male,Zone C,Bachelor's Degree,Advanced,High,Interviewing,Young,Single,Medium,Technology Manager,-,-,-,-,-,Time Management,-,Adaptability,-,Leadership
E259,Other,Zone D,High School,Beginner,Low,Interviewing,Old,Single,Medium,Manufacturing Analyst Staff,Critical Thinking,Problem Solving,Data Visualization,-,-,Time Management,Team Work,-,-,-
E260,Female,Zone B,High School,Beginner,High,Interviewing,Young,Single,Far,Financial Analyst Staff,Critical Thinking,-,Data Visualization,-,-,Time Management,Team Work,-,-,Leadership
E261,Male,Zone G,Master's Degree,Intermediate,High,Offered,Young,Single,Medium,Manufacturing Sales Representative Manager,-,-,Data Visualization,-,-,Time Management,Team Work,-,-,-
E262,Male,Zone I,PhD,Beginner,Medium,Offered,Old,Married,Far,Manufacturing System Engineer Staff,Critical Thinking,-,-,-,-,-,Team Work,-,Creativity,Leadership
E263,Female,Zone J,Master's Degree,Intermediate,Medium,Interviewing,Middle,Married,Far,Manufacturing Accountant Staff,Critical Thinking,Problem Solving,Data Visualization,Communication,-,Time Management,-,Adaptability,-,Leadership
E264,Other,Zone J,PhD,Beginner,Low,Offered,Old,Single,Far,Chief Strategy Officer,-,-,-,-,-,-,-,Adaptability,Creativity,Leadership
E265,Female,Zone E,Master's Degree,Advanced,Low,Interviewing,Middle,Married,Near,Research and Development Enginner Staff,Critical Thinking,Problem Solving,-,Communication,Analytical Thinking,Time Management,Team Work,-,Creativity,-
E266,Female,Zone E,PhD,Advanced,Low,Interviewing,Middle,Married,Near,Research and Development Enginner Manager,Critical Thinking,Problem Solving,-,Communication,Analytical Thinking,Time Management,Team Work,Adaptability,Creativity,-
E267,Other,Zone D,Bachelor's Degree,Intermediate,Low,Offered,Old,Single,Medium,Technology Analyst Staff,-,-,Data Visualization,Communication,-,Time Management,-,Adaptability,-,Leadership
E268,Female,Zone H,High School,Advanced,Low,Interviewing,Old,Widowed,Medium,Manufacturing Sales Representative Staff,Critical Thinking,-,Data Visualization,-,-,-,-,-,Creativity,-
E269,Male,Zone J,High School,Intermediate,High,Offered,Middle,Divorced,Far,Administrative Staff,-,-,-,Communication,Analytical Thinking,Time Management,-,-,Creativity,Leadership
E270,Male,Zone E,High School,Beginner,High,Offered,Middle,Divorced,Near,Manufacturing Risk Staff,Critical Thinking,-,Data Visualization,Communication,Analytical Thinking,Time Management,-,Adaptability,Creativity,-
E271,Male,Zone F,High School,Intermediate,Medium,Interviewing,Middle,Single,Near,Technology Staff,Critical Thinking,Problem Solving,-,-,-,Time Management,Team Work,Adaptability,-,Leadership
E272,Male,Zone F,High School,Advanced,High,Interviewing,Middle,Widowed,Near,Manufacturing Techinical Staff,-,-,-,Communication,-,Time Management,Team Work,-,-,Leadership
E273,Female,Zone J,Bachelor's Degree,Beginner,Low,Offered,Middle,Single,Far,Manufacturing System Technology Staff,Critical Thinking,Problem Solving,-,-,Analytical Thinking,Time Management,Team Work,-,Creativity,-
E274,Female,Zone A,High School,Advanced,High,Offered,Middle,Widowed,Far,Maintenance Technician Staff,-,-,-,-,Analytical Thinking,Time Management,-,-,-,-
E275,Female,Zone I,High School,Advanced,High,Offered,Young,Single,Far,Technology Staff,Critical Thinking,Problem Solving,-,-,-,Time Management,Team Work,Adaptability,-,Leadership
E276,Male,Zone C,High School,Advanced,High,Interviewing,Young,Married,Medium,Technology Analyst Staff,-,-,Data Visualization,Communication,-,Time Management,-,Adaptability,-,Leadership
E277,Other,Zone H,Master's Degree,Advanced,Low,Interviewing,Middle,Married,Medium,HSE Engineer Manager,Critical Thinking,Problem Solving,-,Communication,Analytical Thinking,Time Management,Team Work,Adaptability,-,-
E278,Male,Zone H,PhD,Beginner,High,Offered,Middle,Widowed,Medium,Supply Chain Manager,Critical Thinking,-,-,Communication,Analytical Thinking,Time Management,-,Adaptability,Creativity,-
E279,Other,Zone G,Bachelor's Degree,Advanced,Low,Offered,Young,Married,Medium,Manufacturing Design Engineer Staff,-,-,Data Visualization,-,-,-,Team Work,-,-,-
E280,Other,Zone B,Bachelor's Degree,Advanced,High,Interviewing,Middle,Divorced,Far,Research and Development Enginner Staff,Critical Thinking,Problem Solving,-,Communication,Analytical Thinking,Time Management,Team Work,-,Creativity,-
E281,Female,Zone F,Bachelor's Degree,Advanced,Low,Interviewing,Young,Single,Near,Manufacturing Sales Representative Staff,Critical Thinking,-,Data Visualization,-,-,-,-,-,Creativity,-
E282,Other,Zone D,Master's Degree,Advanced,High,Offered,Young,Single,Medium,Human Resources Manager,-,Problem Solving,-,Communication,Analytical Thinking,-,Team Work,-,-,-
E283,Male,Zone D,High School,Advanced,High,Interviewing,Young,Married,Medium,Research and Development Enginner Staff,Critical Thinking,Problem Solving,-,Communication,Analytical Thinking,Time Management,Team Work,-,Creativity,-
E284,Other,Zone H,Bachelor's Degree,Advanced,High,Interviewing,Middle,Married,Medium,Quality Control Manager,-,Problem Solving,-,-,Analytical Thinking,Time Management,-,Adaptability,Creativity,Leadership
E285,Other,Zone D,PhD,Advanced,Low,Interviewing,Middle,Single,Medium,Financial Analyst Staff,Critical Thinking,-,Data Visualization,-,-,Time Management,Team Work,-,-,Leadership
E286,Male,Zone E,Master's Degree,Advanced,Low,Interviewing,Middle,Widowed,Near,Manufacturing Analyst Manager,Critical Thinking,Problem Solving,-,Communication,Analytical Thinking,Time Management,Team Work,-,-,Leadership
E287,Male,Zone E,High School,Advanced,Low,Offered,Middle,Single,Near,Administrative Staff,-,-,-,Communication,Analytical Thinking,Time Management,-,-,Creativity,Leadership
E288,Female,Zone H,High School,Beginner,Low,Interviewing,Middle,Married,Medium,Technology Staff,Critical Thinking,Problem Solving,-,-,-,Time Management,Team Work,Adaptability,-,Leadership
E289,Other,Zone B,Master's Degree,Intermediate,High,Offered,Middle,Widowed,Far,Research and Development Enginner Staff,Critical Thinking,Problem Solving,-,Communication,Analytical Thinking,Time Management,Team Work,-,Creativity,-
E290,Other,Zone E,Bachelor's Degree,Advanced,High,Interviewing,Middle,Divorced,Near,Production Planning Manager,-,Problem Solving,Data Visualization,-,-,Time Management,-,-,-,Leadership
E291,Female,Zone G,Master's Degree,Advanced,High,Offered,Middle,Divorced,Medium,Manufacturing Techinical Manager,-,-,Data Visualization,Communication,-,Time Management,Team Work,Adaptability,Creativity,-
E292,Male,Zone H,High School,Advanced,Low,Interviewing,Old,Single,Medium,Customer Care Staff,-,-,Data Visualization,Communication,Analytical Thinking,-,Team Work,Adaptability,Creativity,Leadership
E293,Male,Zone H,PhD,Intermediate,High,Interviewing,Middle,Widowed,Medium,Manufacturing Facilities Manager,-,Problem Solving,-,Communication,Analytical Thinking,Time Management,-,-,-,Leadership
E294,Other,Zone J,Master's Degree,Advanced,High,Interviewing,Old,Divorced,Far,Chief Marketing Officer,Critical Thinking,-,Data Visualization,-,Analytical Thinking,-,Team Work,Adaptability,Creativity,-
E295,Other,Zone B,Bachelor's Degree,Intermediate,High,Interviewing,Young,Single,Far,Manufacturing Design Engineer Staff,-,-,Data Visualization,-,-,-,Team Work,-,-,-
